trial,sl_mult,min_return,max_holding,sharpe_per_trade,total_return_pct,win_rate,n_trades,valid,label_total,label_count_-1,label_count_0,label_count_1,label_pct_-1,label_pct_0,label_pct_1
0,1.1239882614641976,0.0009556428757689245,47,,,,,False,794141,59512,622215,112414,7.493883328023614,78.35069590916474,14.15542076281164
1,1.6170486652334806,0.00024041677639819286,17,,,,,False,794141,441986,16700,335455,55.65585960175837,2.1029011220929283,42.2412392761487
2,0.42778394677003884,0.0008795585311974416,40,,,,,False,794141,25135,738019,30987,3.1650550720841766,92.93299300753897,3.90195192037686
3,1.8577596711513003,0.00011852604486622221,59,,,,,False,794141,458082,162,335897,57.682703701231894,0.0203994001065302,42.29689689866157
4,2.131373809760928,0.00029110519961044856,19,,,,,False,794141,431357,33209,329575,54.31743229476881,4.181751099615811,41.50081660561538
5,0.7034899216775544,0.00037381801866358396,36,1618.7243163404055,40368.177500654994,1.0,615716.0,True,794141,295213,178425,320503,37.17387718301914,22.467672617331182,40.35845019964969
6,1.2502790410126547,0.0003621062261782377,41,,,,,False,794141,435859,15323,342959,54.88433414217374,1.9295062211874214,43.186159636638834
7,0.6068864934344921,0.00036293018368169634,28,1526.332010481933,36253.455118729136,1.0,575380.0,True,794141,271240,218761,304140,34.15514373392131,27.546871399411437,38.29798486666726
8,1.303353965277479,0.0008066583652537122,20,,,,,False,794141,142580,423984,227577,17.953990538204174,53.38900774547592,28.657001716319897
9,1.4313157645099457,0.0006331731119758382,12,1834.3266435978198,57312.2872989148,1.0,572773.0,True,794141,278932,221368,293841,35.12373747231285,27.87515063445912,37.00111189322803
10,2.3793003973068503,0.0006849538503060963,10,1729.8187949726391,68190.06686727997,1.0,540941.0,True,794141,296178,253200,244763,37.29539212809816,31.883506833169424,30.82110103873242
11,2.351038752205932,0.0006619878313599627,11,1757.3978586625035,72204.76616817345,1.0,575302.0,True,794141,316697,218839,258605,39.87919021936911,27.556693332796065,32.56411644783483
12,2.4520675397961895,0.0005838905727081188,11,1725.9548211272863,74548.38294074376,1.0,596930.0,True,794141,327899,197211,269031,41.28977096006881,24.833247496351404,33.876981543579795
13,1.8722757369263028,0.0005565850326436581,27,,,,,False,794141,425122,39179,329840,53.532307235113166,4.9335067702083135,41.53418599467852
14,0.928879478579218,0.0006994256660963986,27,,,,,False,794141,119891,492766,181484,15.096941223284027,62.05019007959544,22.852868697120538
15,1.6440036410038936,0.0007009954438827399,15,1871.965170152013,64350.212832413716,1.0,584133.0,True,794141,287453,210008,296680,36.196720733471764,26.444674182544407,37.358605083983825
16,1.5369523700546646,0.0004794190828027882,23,,,,,False,794141,420048,39656,334437,52.89337787622097,4.993571670521986,42.11305045325704
17,1.7379004124260173,0.0007944977289312444,14,1791.2499434823767,60582.20377128531,1.0,510883.0,True,794141,237792,283258,273091,29.94329722303722,35.66847700849093,34.38822576847185
18,1.0209129275552078,0.0004805864512413172,33,1792.6178031405097,50285.48471798028,1.0,627140.0,True,794141,304614,167001,322526,38.357672000312284,21.02913714315216,40.61319085653555
19,2.004643467778096,0.0008210725363482808,57,1981.269110553521,81755.71170737101,1.0,634719.0,True,794141,316097,159422,318622,39.80363688564121,20.074772615946035,40.12159049841275
20,2.0819254809323935,0.000974108873516301,56,1896.6139047152146,74647.55156658609,1.0,529217.0,True,794141,233797,264924,295420,29.44023794263235,33.35981897421239,37.199943083155254
21,2.077997102042524,0.0009980095802026617,60,1862.3098372648258,72431.61696180295,1.0,507222.0,True,794141,217836,286919,289386,27.430393343247612,36.129478266453944,36.44012839029845
22,2.0513079571942185,0.0007984913461320299,53,,,,,False,794141,341148,130452,322541,42.958114491003485,16.426805819117764,40.61507968987875
23,2.2142700444906365,0.0008965729712509286,51,2035.7388493291235,87764.98183457613,1.0,630028.0,True,794141,313978,164113,316050,39.53680769535888,20.66547376347525,39.797718541165864
24,2.222178162278554,0.0008992553915935697,55,2034.8014997551927,88169.24013387944,1.0,630972.0,True,794141,314597,163169,316375,39.61475355132149,20.546603185076705,39.8386432636018
25,2.26842487486872,0.0008875288657020634,51,,,,,False,794141,330773,144842,318526,41.6516714286254,18.238826606358316,40.109501965016285
26,2.2246620041150362,0.0008868731770658017,47,,,,,False,794141,321574,155694,316873,40.49331290035397,19.605334569050083,39.90135253059595
27,1.8625557693672188,0.0007792573117580628,49,1951.3861168418882,76616.4778349064,1.0,627363.0,True,794141,309533,166778,317830,38.977083414658104,21.00105648744996,40.02186009789194
28,1.9627855018194054,0.0009017739926111713,55,1901.0429169940267,73454.16194290516,1.0,552448.0,True,794141,250979,241693,301469,31.60383357615335,30.434519814491377,37.96164660935526
29,2.481602048997646,0.0007493229922289032,46,,,,,False,794141,422258,45626,326257,53.171665988785364,5.745327341114487,41.08300667010015
30,2.222549118009821,0.0009255200548934757,43,2027.8077270416934,85657.48375822602,1.0,606843.0,True,794141,295842,187298,311001,37.253082261210544,23.584980500943786,39.16193723784567
31,2.2447843020797857,0.0009493974159844223,43,2014.9555398196771,85123.69182206938,1.0,594069.0,True,794141,285697,200072,308372,35.97560131009481,25.193510976010558,38.83088771389463
32,2.2429016364061676,0.0009303161728256332,43,2025.7006850881935,86376.0473142949,1.0,608118.0,True,794141,297170,186023,310948,37.42030697319494,23.42442966677202,39.15526336003305
33,2.188310547135947,0.000939642740778623,44,2003.1624926403092,82916.51392584965,1.0,587435.0,True,794141,279692,206706,307743,35.21943836170151,26.028879002595257,38.75168263570323
34,2.3368255124425374,0.0008510209502692121,38,,,,,False,794141,358640,116624,318877,45.16074601361723,14.685553321135666,40.15370066524711
35,1.7875536939949572,0.0009255754366331012,51,1743.4541031530357,60883.13127394739,1.0,466152.0,True,794141,191221,327989,274931,24.078973381301306,41.30110396012799,34.61992265857071
36,2.481876426750013,0.0008566556538390147,34,,,,,False,794141,370958,107962,315221,46.7118559550508,13.5948150265507,39.693329018398494
37,2.151785461007266,0.0009926321453220747,40,1934.9748298872655,76302.47650197256,1.0,530560.0,True,794141,236320,263581,294240,29.75793971095813,33.19070542888479,37.051354860157076
38,1.931853199863306,0.000743621822580487,47,,,,,False,794141,349769,119874,324498,44.04368997445038,15.094800545495069,40.86150948005455
39,1.7165071688979523,0.0008436087315934543,52,1814.552573186485,63519.19345522027,1.0,517449.0,True,794141,225791,276692,291658,28.43210462625655,34.84167169306207,36.72622368068139
40,2.3078610208072354,0.0001281907020671063,43,,,,,False,794141,459220,1880,333041,57.82600319086912,0.23673377901405418,41.93726303011682
41,2.2022123669282436,0.0009495321718650674,42,2002.8972220855724,82744.04929235681,1.0,582207.0,True,794141,275948,211934,306259,34.74798555923948,26.687200383810932,38.56481405694959
42,2.1457963495116092,0.0009200690778241887,37,1994.155693553439,81315.56308653024,1.0,586882.0,True,794141,280214,207259,306668,35.285169762044774,26.098513991847796,38.61631624610743
43,2.403106537596118,0.0009570849310481107,45,2035.9330664936497,93122.47431050203,1.0,627826.0,True,794141,314561,166315,313265,39.61022035129782,20.94275449825661,39.447025150445576
44,2.3921204106136233,0.0008756885591010294,45,,,,,False,794141,358340,115310,320491,45.12296934675328,14.520091520271588,40.35693913297513
45,2.376311700483643,0.0009647894052396098,48,2014.0003236481498,91531.27278717683,1.0,618003.0,True,794141,305490,176138,312513,38.46797986755501,22.179688493605042,39.352331638839956
46,0.43531439420516305,0.0007621240673233312,54,,,,,False,794141,42361,700279,51501,5.334191283411887,88.1806883160547,6.485120400533406
47,1.981392468124926,0.0008322732500277396,39,1979.3045365457479,79075.53096619339,1.0,614950.0,True,794141,300866,179191,314084,37.88571550895873,22.564129040057118,39.55015545098414
48,2.3972957722721806,0.0009977228456328762,50,2003.5163896875126,90446.39783426315,1.0,599648.0,True,794141,290125,194493,309523,36.533184913006636,24.490990894564064,38.9758241924293
49,1.5537920463854287,0.0009096564983884395,32,,,,,False,794141,145035,410427,238679,18.26312959537412,51.68188016989427,30.054990234731616
50,2.4984456495842995,0.0006325411103649399,59,,,,,False,794141,451346,13002,329793,56.83449160791345,1.637240741883368,41.528267650203176
51,2.2734881234904365,0.0009560285345831447,42,2015.36595542084,86040.36670601851,1.0,595435.0,True,794141,287321,198706,308114,36.18009900005163,25.02150121955673,38.79839978039165
52,2.290791855678627,0.0009535905628011645,45,2025.610806658472,87488.16602513345,1.0,603806.0,True,794141,293638,190335,310168,36.97554968198343,23.96740629182979,39.05704402618679
53,2.1084577518282215,0.0009178711826682526,45,1974.7604481064677,80236.85245980257,1.0,582957.0,True,794141,275380,211184,307577,34.676461736643745,26.592758716651073,38.73077954670518
54,2.3127484855785054,0.0008713866841186237,49,,,,,False,794141,348154,125299,320688,43.84032558449948,15.777928604618072,40.38174581088245
55,1.202904053832837,0.0003010782642785969,36,,,,,False,794141,444861,5319,343961,56.017885992537856,0.6697803034977415,43.31233370396441
56,2.0369109132294594,0.0008195630312033316,57,,,,,False,794141,324690,149452,319999,40.885686546847474,18.81932805383427,40.29498539931826
57,0.8000902556805797,0.00047760344655207646,53,1591.6287887731905,38775.36995586464,1.0,515726.0,True,794141,232804,278415,282922,29.315197175312697,35.05863568308399,35.62616714160332
58,2.167039302194684,0.0009673415866449225,40,1969.1127119752844,79217.99569820885,1.0,556452.0,True,794141,255983,237689,300469,32.23394837944396,29.9303272340806,37.83572438647545
59,1.3666015815147918,0.0009013088103039989,48,,,,,False,794141,111737,483141,199263,14.070171417922007,60.8381886843772,25.091639897700784
60,2.4123813072143245,0.0007108224917570042,30,,,,,False,794141,413198,62302,318641,52.03081064949423,7.845206329858299,40.12398302064747
61,2.2677751239549884,0.0009767731412196029,42,1997.768912703895,84177.72165799218,1.0,577704.0,True,794141,273051,216437,304653,34.383188879556656,27.25422815343875,38.3625829670046
62,2.2862412835866928,0.0009405675781920153,46,2030.1001442648596,88248.67914533967,1.0,612915.0,True,794141,300979,181226,311936,37.899944720144155,22.820380763617543,39.2796745162383
63,1.9051928251309054,0.0008808890450327471,44,1900.989769882175,71478.86316484833,1.0,550269.0,True,794141,249535,243872,300734,31.4220018863149,30.708904338146496,37.8690937755386
64,2.1162693394069425,0.0009352388672909561,46,1964.5805215137484,79403.0021201447,1.0,571190.0,True,794141,266102,222951,305088,33.50815535276481,28.07448551327787,38.41735913395732
65,2.339882171644823,0.0008487825955281694,51,,,,,False,794141,365710,105196,323235,46.05101612937753,13.246514158065128,40.702469712557345
66,2.214867000829001,0.0007963759712010868,49,,,,,False,794141,372700,96296,325145,46.93121246730744,12.125806374434767,40.942981158257794
67,2.4312127517393587,0.0009343099644884393,56,,,,,False,794141,335802,139636,318703,42.28493428748799,17.583275514045997,40.131790198466014
68,2.020129692959832,0.0008981313873540145,46,1947.2535605239448,76836.47620181438,1.0,573260.0,True,794141,267306,220881,305954,33.65976570911211,27.813826511916652,38.52640777897124
