sl_mult,min_return,max_holding,score,valid,label_total,label_count_-1,label_count_0,label_count_1,label_pct_-1,label_pct_0,label_pct_1,econ_sharpe,econ_n_trades
0.4,0.00015,15,-inf,False,496272,255668,10839,229765,51.5177160911758,2.1840845342876487,46.298199374536544,,
0.5,0.00015,15,-inf,False,496272,264793,3972,227507,53.35642550859207,0.8003675403810813,45.84320695102686,,
0.6,0.00015,15,-inf,False,496272,269689,1650,224933,54.34298126833672,0.33247896314924075,45.324539768514036,,
0.7,0.00015,15,-inf,False,496272,272760,1098,222414,54.96179514459813,0.22124963729567657,44.8169552181062,,
0.8,0.00015,15,-inf,False,496272,275079,1031,220162,55.42907921462423,0.2077489763677983,44.36317180900796,,
0.9,0.00015,15,-inf,False,496272,276880,1283,218109,55.791985040461675,0.25852758164877326,43.94948737788955,,
1.0,0.00015,15,-inf,False,496272,278166,1754,216352,56.05111712931618,0.35343521294773833,43.59544765773608,,
1.2,0.00015,15,-inf,False,496272,279404,3131,213737,56.30057710287907,0.630904020375923,43.06851887674501,,
1.4,0.00015,15,-inf,False,496272,279063,5251,211958,56.23186478382822,1.05808911242222,42.710046103749555,,
1.6,0.00015,15,-inf,False,496272,277353,7994,210925,55.88729567656446,1.6108102008575942,42.501894122577944,,
1.8,0.00015,15,-inf,False,496272,274676,10972,210624,55.34787374665506,2.2108843537414966,42.44124189960344,,
2.0,0.00015,15,-inf,False,496272,271132,14036,211104,54.633749234290875,2.828287713189541,42.537963052519586,,
0.4,0.0002,15,-inf,False,496272,232298,40053,223921,46.8086049585711,8.070775703646389,45.12061933778251,,
0.5,0.0002,15,-inf,False,496272,251203,19327,225742,50.61800786665377,3.894436921688107,45.48755521165812,,
0.6,0.0002,15,-inf,False,496272,263177,8678,224417,53.03079762710772,1.7486378437630976,45.220564529129184,,
0.7,0.0002,15,-inf,False,496272,269855,4204,222213,54.376430667053555,0.8471160976238836,44.77645323532256,,
0.8,0.0002,15,-inf,False,496272,273747,2508,220017,55.16067801528194,0.5053680239868459,44.33395396073121,,
0.9,0.0002,15,-inf,False,496272,276209,2134,217929,55.65677692878099,0.43000612567301805,43.91321694554599,,
1.0,0.0002,15,-inf,False,496272,277711,2439,216122,55.959433536447754,0.49146435825515045,43.549102105297095,,
1.2,0.0002,15,-inf,False,496272,278951,4049,213272,56.209296514814454,0.8158832253280459,42.9748202598575,,
1.4,0.0002,15,-inf,False,496272,278346,6803,211123,56.08738756165973,1.3708208401844149,42.54179159815585,,
1.6,0.0002,15,-inf,False,496272,276243,10367,209662,55.66362801044589,2.088975400586775,42.24739658896734,,
1.8,0.0002,15,-inf,False,496272,273098,14322,208852,55.029902956443244,2.8859174001354093,42.08417964342135,,
2.0,0.0002,15,-inf,False,496272,269062,18422,208788,54.21663926234,3.7120772479607953,42.0712834896992,,
0.4,0.00025,15,-inf,False,496272,203772,83511,208989,41.060547441725504,16.82766708579166,42.11178547248283,,
0.5,0.00025,15,-inf,False,496272,226230,50899,219143,45.58588838378954,10.256270754747398,44.15784086146307,,
0.6,0.00025,15,-inf,False,496272,245832,28610,221830,49.53573846600251,5.764983718605926,44.69927781539156,,
0.7,0.00025,15,-inf,False,496272,259596,15465,221211,52.30921752587291,3.1162346455169745,44.574547828610115,,
0.8,0.00025,15,-inf,False,496272,268098,8625,219549,54.02239094690009,1.7379582164619403,44.23965083663797,,
0.9,0.00025,15,-inf,False,496272,273142,5503,217627,55.03876906212722,1.108867717703195,43.85236322016958,,
1.0,0.00025,15,-inf,False,496272,276089,4362,215821,55.63259664055196,0.8789534771254474,43.4884498823226,,
1.2,0.00025,15,-inf,False,496272,278171,5283,212818,56.052124641325726,1.0645371892832962,42.883338169390974,,
1.4,0.00025,15,-inf,False,496272,277531,8375,210366,55.9231631041042,1.6875826159847827,42.389254279911015,,
1.6,0.00025,15,-inf,False,496272,275072,12786,208414,55.42766869781087,2.5764097108037527,41.99592159138537,,
1.8,0.00025,15,-inf,False,496272,271483,17674,207115,54.70447657736081,3.56135345133314,41.73416997130606,,
2.0,0.00025,15,-inf,False,496272,267019,22737,206516,53.80496985524067,4.581560112196537,41.61347003256279,,
0.4,0.0003,15,30.61265609513405,True,496272,175417,134538,186317,35.34694683560628,27.109730147983363,37.543323016410355,30.61265609513405,361734.0
0.5,0.0003,15,-inf,False,496272,197262,94579,204431,39.74876680530032,19.057895670116388,41.1933375245833,,
0.6,0.0003,15,-inf,False,496272,219412,62788,214072,44.21204500757649,12.651932811039106,43.136022181384405,,
0.7,0.0003,15,-inf,False,496272,239009,39780,217483,48.160887577779924,8.015765547925332,43.82334687429474,,
0.8,0.0003,15,-inf,False,496272,253851,24616,217805,51.15158622690782,4.960183125382855,43.88823064770932,,
0.9,0.0003,15,-inf,False,496272,264036,15495,216741,53.20388819034723,3.1222797175742336,43.673832092078534,,
1.0,0.0003,15,-inf,False,496272,270310,10676,215286,54.468114259921975,2.151239642776542,43.38064609730148,,
1.2,0.0003,15,-inf,False,496272,275926,8051,212295,55.59975174904085,1.622295837766386,42.777952413192764,,
1.4,0.0003,15,-inf,False,496272,276193,10555,209524,55.653552890350454,2.1268578521455974,42.21958925750395,,
1.6,0.0003,15,-inf,False,496272,273812,15335,207125,55.173775671406,3.0900393332688525,41.73618499532515,,
1.8,0.0003,15,-inf,False,496272,269956,21040,205276,54.39678240964633,4.239610536157591,41.36360705419609,,
2.0,0.0003,15,-inf,False,496272,265079,27042,204151,53.414055195537934,5.449027952413193,41.13691685204888,,
